Type de changement	 Fichier non corrigé	 Fichier corrigé	 Mots du fichier non corrigé remplacés dans le fichier corrigé	 Mots remplaçants dans le fichier corrigé	
equal 	   EN_non_corr_lg_9.csv[0:13]	 EN_corr_lg_9.csv[0:13]	 ['"Poesies', 'DE', 'Valentin', '"', 'HENRI', 'PUBLIEES', 'MM. T. LAROUSSILHE', '"Passage Choiseul', 'PARIS', 'J. GIRMA', 'LIBRAIRE', '24"', '"Boulevard Gambetta']	 ['"Poesies', 'DE', 'Valentin', '"', 'HENRI', 'PUBLIEES', 'MM. T. LAROUSSILHE', '"Passage Choiseul', 'PARIS', 'J. GIRMA', 'LIBRAIRE', '24"', '"Boulevard Gambetta']
delete	   EN_non_corr_lg_9.csv[92:94]	 EN_corr_lg_9.csv[95:95]	 ['"M.', 'Aubran,"']	 []
equal 	   EN_non_corr_lg_9.csv[94:106]	 EN_corr_lg_9.csv[95:107]	 ['Cadurciens', '"Réfor', 'mateur du 23 mai 1880"', 'Cahors', 'M. François', '"Valentin, périodiquement', 'entraîné"', '"NOTICE BIOGRAPHIQUE VII', '"', 'Cahors', 'Valentin', 'Afrique']	 ['Cadurciens', '"Réfor', 'mateur du 23 mai 1880"', 'Cahors', 'M. François', '"Valentin, périodiquement', 'entraîné"', '"NOTICE BIOGRAPHIQUE VII', '"', 'Cahors', 'Valentin', 'Afrique']
replace	   EN_non_corr_lg_9.csv[106:107]	 EN_corr_lg_9.csv[107:108]	 ['M. Jules Combarieu']	 ['M. Jules']
equal 	   EN_non_corr_lg_9.csv[107:112]	 EN_corr_lg_9.csv[108:113]	 ['Lazare', 'Racine', '"VIII NOTICE BIOGRAPHIQUE', 'préféré"', 'la Marseillaise']	 ['Lazare', 'Racine', '"VIII NOTICE BIOGRAPHIQUE', 'préféré"', 'la Marseillaise']
replace	   EN_non_corr_lg_9.csv[112:114]	 EN_corr_lg_9.csv[113:114]	 ['Barbier', '"Lac de Lamartine']	 ['"Barbier et le Lac de Lamartine']
equal 	   EN_non_corr_lg_9.csv[114:122]	 EN_corr_lg_9.csv[114:122]	 ['qu’il déclamait de préférence"', '"NOTICE BIOGRAPHIQUE IX', 'En somme"', 'Valentin', 'muscadin', 'La Muse', 'Cahors', 'X NOTICE']	 ['qu’il déclamait de préférence"', '"NOTICE BIOGRAPHIQUE IX', 'En somme"', 'Valentin', 'muscadin', 'La Muse', 'Cahors', 'X NOTICE']
replace	   EN_non_corr_lg_9.csv[122:124]	 EN_corr_lg_9.csv[122:123]	 ['"Francis Maratuech\xa0:', 'nous voudrions"']	 ['Francis Marrakech']
equal 	   EN_non_corr_lg_9.csv[124:132]	 EN_corr_lg_9.csv[123:131]	 ['Valentin', 'F.', 'MARIUS', 'Cahors', 'Grandgousier', 'Rabelais', 'Destin antique', 'Horace']	 ['Valentin', 'F.', 'MARIUS', 'Cahors', 'Grandgousier', 'Rabelais', 'Destin antique', 'Horace']
delete	   EN_non_corr_lg_9.csv[132:133]	 EN_corr_lg_9.csv[131:131]	  ['XII']	 []
equal 	   EN_non_corr_lg_9.csv[133:137]	 EN_corr_lg_9.csv[131:135]	 ['Bacchus', 'Cahors', 'César', 'Valentin']	 ['Bacchus', 'Cahors', 'César', 'Valentin']
replace	   EN_non_corr_lg_9.csv[137:138]	 EN_corr_lg_9.csv[135:136]	 ['Pierre Gringoire']	 ['Pierre Grimoire']
equal 	   EN_non_corr_lg_9.csv[138:141]	 EN_corr_lg_9.csv[136:139]	 ['Gérard de Nerval', 'Bohême', 'Tartufe.']	 ['Gérard de Nerval', 'Bohême', 'Tartufe.']
replace	   EN_non_corr_lg_9.csv[141:145]	 EN_corr_lg_9.csv[139:141]	 ['PREFACE', 'Villons', 'Régniers', 'XIV']	 ['les Vallons', 'Régnier']
equal 	   EN_non_corr_lg_9.csv[145:151]	 EN_corr_lg_9.csv[141:147]	 ['La Fontaine', 'Voltaire', 'Musset', 'Valentin', 'Légende des Siècles', 'Leconte de Lisle']	 ['La Fontaine', 'Voltaire', 'Musset', 'Valentin', 'Légende des Siècles', 'Leconte de Lisle']
replace	   EN_non_corr_lg_9.csv[151:152]	 EN_corr_lg_9.csv[147:148]	 ['Emerger']	 ['Merger']
equal 	   EN_non_corr_lg_9.csv[152:154]	 EN_corr_lg_9.csv[148:150]	 ['"mer sereine.', 'La plupart"']	 ['"mer sereine.', 'La plupart"']
delete	   EN_non_corr_lg_9.csv[154:155]	 EN_corr_lg_9.csv[150:150]	 ['PREFACE']	 []
equal 	   EN_non_corr_lg_9.csv[155:161]	 EN_corr_lg_9.csv[150:156]	 ['Valentina', 'Cahors', 'Malherbe', 'Henri IV', 'Valentin', 'Valentin']	 ['Valentina', 'Cahors', 'Malherbe', 'Henri IV', 'Valentin', 'Valentin']
delete	   EN_non_corr_lg_9.csv[161:162]	 EN_corr_lg_9.csv[156:156]	  ['XVI']	 []
equal 	   EN_non_corr_lg_9.csv[162:170]	 EN_corr_lg_9.csv[156:164]	 ['Rimes', 'Strophes', '"Montagne, appui du ciel"', '"Des Dieux supérieurs séjour spirituel,', '"', 'Centre', 'Kalahamsas', '"Incréé,']	 ['Rimes', 'Strophes', '"Montagne, appui du ciel"', '"Des Dieux supérieurs séjour spirituel,', '"', 'Centre', 'Kalahamsas', '"Incréé,']
replace	   EN_non_corr_lg_9.csv[170:171]	 EN_corr_lg_9.csv[164:165]	 ['Que lu t’élances haut"']	 ['Que la t’élances haut"']
equal 	   EN_non_corr_lg_9.csv[171:174]	 EN_corr_lg_9.csv[165:168]	 ['"Wagnérienne.', '"', 'Attendons']	 ['"Wagnérienne.', '"', 'Attendons']
replace	   EN_non_corr_lg_9.csv[174:175]	 EN_corr_lg_9.csv[168:169]	 ['Epaule']	 ['Paule']
equal 	   EN_non_corr_lg_9.csv[175:177]	 EN_corr_lg_9.csv[169:171]	 ['dore', 'Viens']	 ['dore', 'Viens']
delete	   EN_non_corr_lg_9.csv[177:178]	 EN_corr_lg_9.csv[171:171]	 ['PREFACE']	 []
equal 	   EN_non_corr_lg_9.csv[178:179]	 EN_corr_lg_9.csv[171:172]	 ['Valentin']	 ['Valentin']
insert	   EN_non_corr_lg_9.csv[179:179]	 EN_corr_lg_9.csv[172:174]	       []	 ['"XVIII RELANCE', 'amères"']
equal 	   EN_non_corr_lg_9.csv[179:199]	 EN_corr_lg_9.csv[174:194]	 ['"Valentin', 'avait autant de sentiment"', 'JULES', 'Cahors', '"Poesies', 'LE DÉPART"', '"UN SOLDAT', 'A"', 'Mon pauvre enfant\xa0!', 'Ta blonde adolescence', '"Saisissant les deux mains de son père si vieux.', 'Pleurait"', 'Paraissait', 'Montrer', 'II', '"Annonça tout à coup l’heure du ralliement,', 'Il changea de tactique"', 'Courut', 'VALENTIN', 'SOLDATS']	 ['"Valentin', 'avait autant de sentiment"', 'JULES', 'Cahors', '"Poesies', 'LE DÉPART"', '"UN SOLDAT', 'A"', 'Mon pauvre enfant\xa0!', 'Ta blonde adolescence', '"Saisissant les deux mains de son père si vieux.', 'Pleurait"', 'Paraissait', 'Montrer', 'II', '"Annonça tout à coup l’heure du ralliement,', 'Il changea de tactique"', 'Courut', 'VALENTIN', 'SOLDATS']
replace	   EN_non_corr_lg_9.csv[199:200]	 EN_corr_lg_9.csv[194:195]	 ['Gazir']	 ['Wazir']
equal 	   EN_non_corr_lg_9.csv[200:206]	 EN_corr_lg_9.csv[195:201]	 ['"Kreïder,', 'Sous un astre implacable"', 'Harassés', 'S', 'VALENTIN', 'MESSAGE ET']	 ['"Kreïder,', 'Sous un astre implacable"', 'Harassés', 'S', 'VALENTIN', 'MESSAGE ET']
delete	   EN_non_corr_lg_9.csv[206:208]	 EN_corr_lg_9.csv[201:201]	 ['MOEURS', 'lSOLL']	 []
equal 	   EN_non_corr_lg_9.csv[208:210]	 EN_corr_lg_9.csv[201:203]	 ['"Un jeune Arabe, pèlerin"', '"Grand Désert']	 ['"Un jeune Arabe, pèlerin"', '"Grand Désert']
replace	   EN_non_corr_lg_9.csv[210:211]	 EN_corr_lg_9.csv[203:204]	 ['Etend"']	 ['Tend"']
equal 	   EN_non_corr_lg_9.csv[211:212]	 EN_corr_lg_9.csv[204:205]	 ['Dit l’Arabe']	 ['Dit l’Arabe']
replace	   EN_non_corr_lg_9.csv[212:214]	 EN_corr_lg_9.csv[205:208]	 ['A Messaouda', 'Porte mon amoureux message']	 ['A Messaoud', '"Porte mon amoureux message.', '"']
equal 	   EN_non_corr_lg_9.csv[214:217]	 EN_corr_lg_9.csv[208:211]	 ['La Mecque sainte', 'Aurès', 'Dieu']	 ['La Mecque sainte', 'Aurès', 'Dieu']
replace	   EN_non_corr_lg_9.csv[217:218]	 EN_corr_lg_9.csv[211:212]	 ['Des Haïcks']	 ['Des Haïces de perles']
equal 	   EN_non_corr_lg_9.csv[218:233]	 EN_corr_lg_9.csv[212:227]	 ['Mille', 'Unis', 'Ton bec rose', 'VALENTIN', 'Porte-moi', 'Allah', 'Dis lui…\xa0»', 'Fuyait', 'L’Arabe', '"LA MARCHE MILITAIRE', 'LE fusil"', '"Chantant à plein gosier d’énergiques refrains', 'Que le passant écoute"', 'Un beau soleil de juin', 'dore']	 ['Mille', 'Unis', 'Ton bec rose', 'VALENTIN', 'Porte-moi', 'Allah', 'Dis lui…\xa0»', 'Fuyait', 'L’Arabe', '"LA MARCHE MILITAIRE', 'LE fusil"', '"Chantant à plein gosier d’énergiques refrains', 'Que le passant écoute"', 'Un beau soleil de juin', 'dore']
replace	   EN_non_corr_lg_9.csv[233:234]	 EN_corr_lg_9.csv[227:228]	 ['Savonnettes d’acier']	 ['Savonneries']
equal 	   EN_non_corr_lg_9.csv[234:244]	 EN_corr_lg_9.csv[228:238]	 ['Au soleil', 'VALENTIN', '"Et gémir la courroie.', '"', 'Est', 'C', 'A', 'Sur les reins fatigués', 'Hippolyte', '"Sacs et buffleteries…']	 ['Au soleil', 'VALENTIN', '"Et gémir la courroie.', '"', 'Est', 'C', 'A', 'Sur les reins fatigués', 'Hippolyte', '"Sacs et buffleteries…']
replace	   EN_non_corr_lg_9.csv[244:246]	 EN_corr_lg_9.csv[238:240]	 ['Vivat\xa0!"', 'V ivat\xa0!']	 ['Vivant\xa0!"', 'V ivan\xa0!']
equal 	   EN_non_corr_lg_9.csv[246:247]	 EN_corr_lg_9.csv[240:241]	 ['"VALENTIN II']	 ['"VALENTIN II']
replace	   EN_non_corr_lg_9.csv[247:248]	 EN_corr_lg_9.csv[241:242]	 ['UNE"']	 ['"']
equal 	   EN_non_corr_lg_9.csv[248:265]	 EN_corr_lg_9.csv[242:259]	 ['ESQUISSE', 'UN CAMP EN AFRIQUE', '"Le soleil', 'est couché', 'SATURNIN', '"', 'Albert', '"Saturnin,', 'ue"', 'O', 'Mon vieux soldat', 'Afrique', 'Cacher', 'Te', 'VALENTIN', '"Et croyant le narguer, tu bois pour t’étourdir."', 'Dieu']	 ['ESQUISSE', 'UN CAMP EN AFRIQUE', '"Le soleil', 'est couché', 'SATURNIN', '"', 'Albert', '"Saturnin,', 'ue"', 'O', 'Mon vieux soldat', 'Afrique', 'Cacher', 'Te', 'VALENTIN', '"Et croyant le narguer, tu bois pour t’étourdir."', 'Dieu']
replace	   EN_non_corr_lg_9.csv[265:266]	 EN_corr_lg_9.csv[259:260]	 ['Jupin']	 ['Si Juin']
equal 	   EN_non_corr_lg_9.csv[266:270]	 EN_corr_lg_9.csv[260:264]	 ['"Fait naître après l’orgie au coeur tout attristé', 'L’intelligence"', 'la Mort', 'Ie']	 ['"Fait naître après l’orgie au coeur tout attristé', 'L’intelligence"', 'la Mort', 'Ie']
replace	   EN_non_corr_lg_9.csv[270:271]	 EN_corr_lg_9.csv[264:265]	 ['"I 5']	 ['"VALENT1N E 5']
equal 	   EN_non_corr_lg_9.csv[271:285]	 EN_corr_lg_9.csv[265:279]	 ['Mais un seul suffira"', 'Aspire', 'Arrachent', 'Cache', '"Soldats couchés', 'ou"', 'Albert', 'Saturnin', 'Un beau lit d’édredon', 'VALENTIN', 'ALBERT', 'Dit', 'Bourrant', 'ALBERT']	 ['Mais un seul suffira"', 'Aspire', 'Arrachent', 'Cache', '"Soldats couchés', 'ou"', 'Albert', 'Saturnin', 'Un beau lit d’édredon', 'VALENTIN', 'ALBERT', 'Dit', 'Bourrant', 'ALBERT']
delete	   EN_non_corr_lg_9.csv[285:288]	 EN_corr_lg_9.csv[279:279]	 ['"Mes beaux jours\xa0!', '18 POÉSIES', 'Voilà ce qu’en partant"']	 []
equal 	   EN_non_corr_lg_9.csv[288:294]	 EN_corr_lg_9.csv[279:285]	 ['"Saturnin', 'Vois"', 'Flatte', 'Tomba', 'Un accent faible et doux', 'Songe']	 ['"Saturnin', 'Vois"', 'Flatte', 'Tomba', 'Un accent faible et doux', 'Songe']
insert	   EN_non_corr_lg_9.csv[294:294]	 EN_corr_lg_9.csv[285:286]	       []	 ['Que la pauvret en vain']
equal 	   EN_non_corr_lg_9.csv[294:339]	 EN_corr_lg_9.csv[286:331]	 ['Mouiller', '"Radieux souvenir\xa0!', '"', 'Saturnin', 'Vois', 'Sévigné', 'VALENTIN', 'Puisse t', 'Mon Albert', 'Gap\xa0!', 'Criminelles', 'A Gap', 'Rapide', '"Va, ta petite"', 'Anna', 'O mon Albert', '"Francesca, tu sais, ma soeur cadette"', 'Albert', 'Albert', 'VALENTIN', 'O', '"Saturnin', 'Regarde"', 'Tordant', '"Albert', 'Ne"', 'Ta', 'VALENTIN', 'Ce talisman du coeur\xa0;', '"Ecoute quelques mots\xa0:', 'II"', 'Cher', 'Va', 'Cher', 'Entassé', 'Ah\xa0!', 'Si je pouvais encor', 'Emu', 'VALENTIN', 'Repliant', 'siroco', 'Que le soleil', 'Arrête sur la bouche', 'Succède', '"Un souffle de fraîcheur venu du fond des plaines,']	 ['Mouiller', '"Radieux souvenir\xa0!', '"', 'Saturnin', 'Vois', 'Sévigné', 'VALENTIN', 'Puisse t', 'Mon Albert', 'Gap\xa0!', 'Criminelles', 'A Gap', 'Rapide', '"Va, ta petite"', 'Anna', 'O mon Albert', '"Francesca, tu sais, ma soeur cadette"', 'Albert', 'Albert', 'VALENTIN', 'O', '"Saturnin', 'Regarde"', 'Tordant', '"Albert', 'Ne"', 'Ta', 'VALENTIN', 'Ce talisman du coeur\xa0;', '"Ecoute quelques mots\xa0:', 'II"', 'Cher', 'Va', 'Cher', 'Entassé', 'Ah\xa0!', 'Si je pouvais encor', 'Emu', 'VALENTIN', 'Repliant', 'siroco', 'Que le soleil', 'Arrête sur la bouche', 'Succède', '"Un souffle de fraîcheur venu du fond des plaines,']
replace	   EN_non_corr_lg_9.csv[339:340]	 EN_corr_lg_9.csv[331:332]	 ['Ranimant herbe et fleur sous de pures haleines"']	 ['Ranimant herbe et fleur sous de pures baleines"']
equal 	   EN_non_corr_lg_9.csv[340:347]	 EN_corr_lg_9.csv[332:339]	 ['Echappée', 'cher Saturnin', 'Donner', 'Tourne', '"La Débauche, qui veille"', '"Mentor,', 'DE VALENTIN"']	 ['Echappée', 'cher Saturnin', 'Donner', 'Tourne', '"La Débauche, qui veille"', '"Mentor,', 'DE VALENTIN"']
replace	   EN_non_corr_lg_9.csv[347:348]	 EN_corr_lg_9.csv[339:340]	 ['Bouclons']	 ['Bouchons nos sacs\xa0: le temps']
equal 	   EN_non_corr_lg_9.csv[348:350]	 EN_corr_lg_9.csv[340:342]	 ['diane', 'Déboucle']	 ['diane', 'Déboucle']
replace	   EN_non_corr_lg_9.csv[350:351]	 EN_corr_lg_9.csv[342:343]	 ['"Paraît sur le front de bandière\xa0;']	 ['"Paraît sur le front de bannière\xa0;']
equal 	   EN_non_corr_lg_9.csv[351:353]	 EN_corr_lg_9.csv[343:345]	 ['"', 'Monte']	 ['"', 'Monte']
replace	   EN_non_corr_lg_9.csv[353:354]	 EN_corr_lg_9.csv[345:346]	 ['Riants souvenirs']	 ['Rants']
equal 	   EN_non_corr_lg_9.csv[354:355]	 EN_corr_lg_9.csv[346:347]	 ['De Géryville']	 ['De Géryville']
insert	   EN_non_corr_lg_9.csv[355:355]	 EN_corr_lg_9.csv[347:350]	       []	 ['"Wazir.', 'Je savais l’étape bien rude\xa0:', 'De solitude"']
equal 	   EN_non_corr_lg_9.csv[355:356]	 EN_corr_lg_9.csv[350:351]	 ['Un soleil de flamme']	 ['Un soleil de flamme']
replace	   EN_non_corr_lg_9.csv[356:358]	 EN_corr_lg_9.csv[351:355]	 ['Mes pensers', 'Un bon café nous attendait\xa0!']	 ['"Mes penser devenaient moroses…', 'Mais, là bas"', '"Un bon café nous attendait\xa0!', 'DE"']
equal 	   EN_non_corr_lg_9.csv[358:362]	 EN_corr_lg_9.csv[355:359]	 ['VALENTIN', 'O', 'Merveilleuse et pure', '"Les Anges de la Poésie']	 ['VALENTIN', 'O', 'Merveilleuse et pure', '"Les Anges de la Poésie']
replace	   EN_non_corr_lg_9.csv[362:363]	 EN_corr_lg_9.csv[359:360]	 ['Ouvrent un rayonnant"']	 ['"']
equal 	   EN_non_corr_lg_9.csv[363:376]	 EN_corr_lg_9.csv[360:373]	 ['France', 'A', 'O Sévigné', '"Lorsque votre bouche mutine', 'Disait,"', 'Racine', 'O', 'Voltaire', 'Lançait', 'Un foyer de braise', '"Petit moulin, maillet, hachette\xa0!"', 'Arabe', 'VALENTIN']	 ['France', 'A', 'O Sévigné', '"Lorsque votre bouche mutine', 'Disait,"', 'Racine', 'O', 'Voltaire', 'Lançait', 'Un foyer de braise', '"Petit moulin, maillet, hachette\xa0!"', 'Arabe', 'VALENTIN']
replace	   EN_non_corr_lg_9.csv[376:377]	 EN_corr_lg_9.csv[373:374]	 ['"ROSE DE VOGHERA']	 ['"ROSE DE VOYAGER']
equal 	   EN_non_corr_lg_9.csv[377:382]	 EN_corr_lg_9.csv[374:379]	 ['ÉPISODE DE LA GUERRE D’ITALIE— 1859', '"', '"Ferdinand Laroussilhe', 'I"', 'ÉTAIT']	 ['ÉPISODE DE LA GUERRE D’ITALIE— 1859', '"', '"Ferdinand Laroussilhe', 'I"', 'ÉTAIT']
replace	   EN_non_corr_lg_9.csv[382:383]	 EN_corr_lg_9.csv[379:380]	 ['"Voghera\xa0: pour chasser un parti']	 ['"Voyager\xa0: pour chasser un parti']
equal 	   EN_non_corr_lg_9.csv[383:393]	 EN_corr_lg_9.csv[380:390]	 ['Croate, un bataillon de ligne"', 'Rythmant', 'Vieux fantassins d’Afrique', 'Le Devoir', '"Destinée', 'Marquer"', 'Vagabonds', 'Arcole', '"Rivoli\xa0!', 'Ils"']	 ['Croate, un bataillon de ligne"', 'Rythmant', 'Vieux fantassins d’Afrique', 'Le Devoir', '"Destinée', 'Marquer"', 'Vagabonds', 'Arcole', '"Rivoli\xa0!', 'Ils"']
replace	   EN_non_corr_lg_9.csv[393:394]	 EN_corr_lg_9.csv[390:391]	 ['"Bardes de France']	 ['"les Bandes de France']
equal 	   EN_non_corr_lg_9.csv[394:405]	 EN_corr_lg_9.csv[391:402]	 ['Ont"', 'Italie', 'Rouge de sang', 'Patrie\xa0!', 'Sparte', 'Font', 'Répandant', 'Milanaise', 'VALENTIN', 'Une rose à la main', 'Soupirante']	 ['Ont"', 'Italie', 'Rouge de sang', 'Patrie\xa0!', 'Sparte', 'Font', 'Répandant', 'Milanaise', 'VALENTIN', 'Une rose à la main', 'Soupirante']
replace	   EN_non_corr_lg_9.csv[405:406]	 EN_corr_lg_9.csv[402:403]	 ['Ebranler']	 ['Branler']
equal 	   EN_non_corr_lg_9.csv[406:426]	 EN_corr_lg_9.csv[403:423]	 ['Dont', '"Et sous un souffle ardent, orageux, frénétique,', 'Se penchait frissonnant ce débris héroïque.', '"', 'Flottaient', 'Beau', 'VALENTIN', 'Sur le ciel', 'Surgissait', 'Archange', 'En pleurant un beau ciel perdu', 'Ossian', 'Faust', 'Satan', 'Les rires du sarcasme', 'Sonores', 'VALENTIN', 'Un tourbillon de flamme', 'Le Vertige et le Désespoir\xa0!', 'Holocaustes']	 ['Dont', '"Et sous un souffle ardent, orageux, frénétique,', 'Se penchait frissonnant ce débris héroïque.', '"', 'Flottaient', 'Beau', 'VALENTIN', 'Sur le ciel', 'Surgissait', 'Archange', 'En pleurant un beau ciel perdu', 'Ossian', 'Faust', 'Satan', 'Les rires du sarcasme', 'Sonores', 'VALENTIN', 'Un tourbillon de flamme', 'Le Vertige et le Désespoir\xa0!', 'Holocaustes']
replace	   EN_non_corr_lg_9.csv[426:427]	 EN_corr_lg_9.csv[423:424]	 ['Defilaient']	 ['Filaient']
equal 	   EN_non_corr_lg_9.csv[427:437]	 EN_corr_lg_9.csv[424:434]	 ['Roulaient', 'Mitraillant', 'Protégez le navire errant', 'du Nord', 'Cria', 'VALENTIN', 'Jette', 'Semblable', 'du Nord', 'Où le cher']	 ['Roulaient', 'Mitraillant', 'Protégez le navire errant', 'du Nord', 'Cria', 'VALENTIN', 'Jette', 'Semblable', 'du Nord', 'Où le cher']
insert	   EN_non_corr_lg_9.csv[437:437]	 EN_corr_lg_9.csv[434:435]	       []	 ['Taient']
equal 	   EN_non_corr_lg_9.csv[437:440]	 EN_corr_lg_9.csv[435:438]	 ['Ornaient', 'VALENTIN', 'Christ']	 ['Ornaient', 'VALENTIN', 'Christ']
replace	   EN_non_corr_lg_9.csv[440:441]	 EN_corr_lg_9.csv[438:439]	 ['Ecoutait']	 ['Coutait']
equal 	   EN_non_corr_lg_9.csv[441:443]	 EN_corr_lg_9.csv[439:441]	 ['Regardait', 'Dorait']	 ['Regardait', 'Dorait']
delete	   EN_non_corr_lg_9.csv[443:444]	 EN_corr_lg_9.csv[441:441]	 ['Meditait']	 []
equal 	   EN_non_corr_lg_9.csv[444:447]	 EN_corr_lg_9.csv[441:444]	 ['Veut', 'Henri\xa0!', 'Etrange']	 ['Veut', 'Henri\xa0!', 'Etrange']
insert	   EN_non_corr_lg_9.csv[447:447]	 EN_corr_lg_9.csv[444:445]	       []	 ['paris']
equal 	   EN_non_corr_lg_9.csv[447:451]	 EN_corr_lg_9.csv[445:449]	 ['Ma mère', 'VALENTIN', 'Remué', '"Dieu\xa0!']	 ['Ma mère', 'VALENTIN', 'Remué', '"Dieu\xa0!']
replace	   EN_non_corr_lg_9.csv[451:452]	 EN_corr_lg_9.csv[449:450]	    ['"']	 ['Mais"']
equal 	   EN_non_corr_lg_9.csv[452:459]	 EN_corr_lg_9.csv[450:457]	 ['Si le Ciel', 'Henri', 'Pèlerin', 'Un doux repos', 'VALENTIN', 'c', 'Afrique']	 ['Si le Ciel', 'Henri', 'Pèlerin', 'Un doux repos', 'VALENTIN', 'c', 'Afrique']
replace	   EN_non_corr_lg_9.csv[459:460]	 EN_corr_lg_9.csv[457:458]	 ['Etroit']	 ['Troit']
equal 	   EN_non_corr_lg_9.csv[460:461]	 EN_corr_lg_9.csv[458:459]	 ['Un cercle ténébreux']	 ['Un cercle ténébreux']
replace	   EN_non_corr_lg_9.csv[461:462]	 EN_corr_lg_9.csv[459:460]	 ['Semble un mort']	 ['eté']
